Name,UserID,Area_Of_Expertise_1,Area_Of_Expertise_2,Area_Of_Expertise_3,Area_Of_Expertise_4,Area_Of_Expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Dr Beatrice Alex,1VYnHCMAAAAJ,text mining,information extraction,natural language processing,health records,digital humanities,,,,,,,,,,,,,,,21,31,29,81,50,63,53,57,62
Owen Conlan,2g6sNZYAAAAJ,Personalisation,Personalised Visualisation,Technology Enhanced Learning,Digital Humanities,,,,,,,,,,,,9,24,37,95,103,121,153,176,232,181,198,225,191
Matthew Jockers,zmyHfb8AAAAJ,Text Mining,Literature,Digital Humanities,Machine Learning,,,,,,,,,,,,,,,,,,,,,13,25,51,91
Beatriz Rodríguez-Labajos,WJSmCDYAAAAJ,ecological economics,environmental justice,gender,creative activism,digital humanities,,,,,,,,,,,,,,,,,,,32,27,40,55,79
José Luis Orihuela,PpOHN2YAAAAJ,Digital Culture,Digital Strategy,Digital Humanities,Digital Literacy,Mastodon,,,,,,,,,,,,,,22,46,48,75,147,133,175,170,226,185
Christos Papatheodorou,qw_Gwj0AAAAJ,digital humanities,e-science,digital libraries,information retrieval,digital preservation,,,,,,,,,,12,12,22,50,70,88,95,133,152,167,190,195,212,213
John Unsworth,tfYqTx8AAAAJ,Digital Humanities,Scholarly Communication,,,,,,,,,16,10,7,15,16,16,16,13,21,36,40,79,69,103,122,149,189,191
Thomas Mandl,Quy2i0AAAAAJ,Information Retrieval,Human-Computer Interaction,Digital Humanities,Information Literacy,Hate Speech.,,,,,,,,,10,6,11,36,37,51,91,109,102,145,150,170,162,125,108
Mark Alfano,d4SgWcsAAAAJ,Moral Psychology,Epistemology,Nietzsche,Experimental Philosophy,Digital Humanities,,,,,,,,,,,,,,,,,,,,,,11,38
Lauren Frederica Klein,Xc9Sco0AAAAJ,digital humanities,data justice,data feminism,quantitative literary studies,,,,,,,,,,,,,,,,,,,,,,,11,42
